letter,Classification,Token_Count,Verse_Count,Avg_Verse_Length,Std_Verse_Length,Long_Verse_Ratio,Short_Verse_Ratio,Text_Type_Token_Ratio,Lemma_Type_Token_Ratio,Avg_Verbs_Per_Verse,Std_Verbs_Per_Verse,Sentence_Fragment_Ratio,Person_Unspecified_Frequency,Person_Third_Frequency,Person_First_Frequency,Person_Second_Frequency,Tense_Unspecified_Frequency,Tense_Present_Frequency,Tense_Aorist_Frequency,Tense_Future_Frequency,Tense_Perfect_Frequency,Tense_Imperfect_Frequency,Tense_Pluperfect_Frequency,Voice_Unspecified_Frequency,Voice_Active_Frequency,Voice_Passive_Frequency,Voice_Middle_Frequency,Mood_Unspecified_Frequency,Mood_Indicative_Frequency,Mood_Participle_Frequency,Mood_Infinitive_Frequency,Mood_Subjunctive_Frequency,Mood_Imperative_Frequency,Mood_Optative_Frequency,Case_Unspecified_Frequency,Case_Nominative_Frequency,Case_Genitive_Frequency,Case_Accusative_Frequency,Case_Dative_Frequency,Case_V_Frequency,Number_Singular_Frequency,Number_Unspecified_Frequency,Number_Plural_Frequency,Gender_Unspecified_Frequency,Gender_Masculine_Frequency,Gender_Feminine_Frequency,Gender_Neuter_Frequency,Degree_Unspecified_Frequency,Degree_Comparative_Frequency,Avg_Verbs_Per_Token,Noun_To_Verb_Ratio,Pronoun_Ratio,Participle_Ratio,Hapax_Legomena_Ratio,μὴ_γένοιτο_Count,Top_Lemma_ὅτι,Top_Lemma_οὗτος,Top_Lemma_σωτήρ,Top_Lemma_ἤ,Top_Lemma_ἄνθρωπος,Top_Lemma_ἐγώ,Top_Lemma_πνεῦμα,Top_Lemma_ἀπό,Top_Lemma_καθώς,Top_Lemma_ποιέω,Top_Lemma_καλός,Top_Lemma_πᾶς,Top_Lemma_ἑαυτοῦ,Top_Lemma_ἁμαρτία,Top_Lemma_λέγω,Top_Lemma_σύ,Top_Lemma_εἰς,Top_Lemma_Ἰησοῦς,Top_Lemma_κύριος,Top_Lemma_ὑπέρ,Top_Lemma_Χριστός,Top_Lemma_νόμος,Top_Lemma_ἀδελφός,Top_Lemma_ἔργον,Top_Lemma_θεός,Top_Lemma_κατά,Top_Lemma_ἔχω,Top_Lemma_οἶδα,Top_Lemma_πίστις,Top_Lemma_σάρξ,Degree_Superlative_Frequency
Romans,1,7054,430,16.404651162790696,5.9570315932102025,0.015735752764389,0.007655231074567621,0.37170399773178336,0.14927700595406862,2.8694581280788176,1.4990377825628856,0.13953488372093023,0.884604479727814,0.0674794442869294,0.027785653529912108,0.020130422455344486,0.8348454777431245,0.08647575843493054,0.051460164445704566,0.013892826764956054,0.011057555996597674,0.0021264530762687838,0.0001417635384179189,0.8348454777431245,0.11213495888857386,0.027643889991494187,0.025375673376807486,0.8348454777431245,0.09384746243266232,0.03558264814289765,0.01417635384179189,0.011199319535015594,0.008647575843493054,0.001701162461015027,0.4123901332577261,0.1618939608732634,0.16061808902750213,0.15806634533597957,0.10447972781400623,0.0025517436915225406,0.5276438899914941,0.29699461298554014,0.1753614970229657,0.4518003969379076,0.2736036291465835,0.16217748795009923,0.1124184859654097,0.9997164729231641,0.0002835270768358378,0.16515452225687552,1.4248927038626609,0.07527643889991494,0.21545064377682405,0.08108874397504962,10,0.00793875815140346,0.007371703997731784,0.0,0.004111142614119648,0.0038276155372838107,0.02083924014743408,0.004819960306209243,0.003402324922030054,0.002835270768358378,0.003260561383612135,0.0007088176920895946,0.009923447689254324,0.0031187978451942162,0.006804649844060108,0.006804649844060108,0.018287496455911538,0.016444570456478593,0.004961723844627162,0.0062375956903884325,0.0024099801531046214,0.00921462999716473,0.010490501842925999,0.0026935072299404594,0.0021264530762687838,0.02112276722426992,0.0066628863056421885,0.0035440884604479726,0.0022682166146867026,0.005528777998298837,0.003685851998865892,0.0
First Corinthians,1,6811,437,15.585812356979405,5.7605173133150895,0.012039348113346058,0.009396564381148142,0.3950961679635883,0.1397738951695786,3.2004889975550124,1.474920986750835,0.07780320366132723,0.8492145059462634,0.0857436499779768,0.03861400675378065,0.02642783732197915,0.8078108941418294,0.11701659080898547,0.04595507267655263,0.012186169431801498,0.014094846571722214,0.0029364263691087945,0.0,0.8078108941418294,0.13801203934811335,0.029951548964909706,0.024225517545147554,0.8078108941418294,0.11334605784759948,0.02672147995889003,0.014682131845543973,0.02246366172368228,0.014535310527088533,0.0004404639553663192,0.46322125972691236,0.19600646013801204,0.11217148729995595,0.13228600792835118,0.0923506093084716,0.0039641755982968725,0.4852444574952283,0.31243576567317577,0.20231977683159594,0.5063867273528116,0.249743062692703,0.11510791366906475,0.12876229628542063,0.996329467038614,0.003083247687564234,0.19218910585817062,1.0420168067226891,0.06974012626633387,0.13903743315508021,0.06401409484657172,1,0.008809279107326384,0.009983849654969902,0.0,0.007047423285861107,0.004551460872118632,0.019233592717662604,0.005872852738217589,0.0013213918660989576,0.002789605050653355,0.002202319776831596,0.0008809279107326384,0.01644398766700925,0.0023491410952870355,0.0005872852738217589,0.004845103509029511,0.02246366172368228,0.00557921010130671,0.003817354279841433,0.009690207018059022,0.0014682131845543973,0.009249743062692703,0.0013213918660989576,0.00557921010130671,0.0011745705476435178,0.015416238437821172,0.0035237116429305535,0.007194244604316547,0.003670532961385993,0.0010277492291880781,0.0016150345030098371,0.0005872852738217589
Second Corinthians,0,4472,256,17.46875,6.0958841788184115,0.01699463327370304,0.004695885509838999,0.4130143112701252,0.17576028622540252,3.196652719665272,1.5225991187336947,0.16796875,0.8886404293381037,0.04226296958855098,0.053443649373881935,0.015652951699463326,0.8291592128801432,0.08966905187835421,0.054785330948121644,0.009391771019677997,0.01498211091234347,0.002012522361359571,0.0,0.8291592128801432,0.10957066189624329,0.029516994633273702,0.03175313059033989,0.8291592128801432,0.09056350626118068,0.04382826475849732,0.015652951699463326,0.015876565295169946,0.004919499105545617,0.0,0.4490161001788909,0.143783542039356,0.1520572450805009,0.14534883720930233,0.1084525939177102,0.0013416815742397137,0.44633273703041143,0.33765652951699465,0.21601073345259392,0.5223613595706619,0.2144454382826476,0.16525044722719143,0.09794275491949911,0.9975402504472272,0.002012522361359571,0.1708407871198569,1.1767015706806283,0.10040250447227192,0.25654450261780104,0.08922182468694097,0,0.011404293381037567,0.009615384615384616,0.0,0.0031305903398926656,0.0017889087656529517,0.036449016100178894,0.0038014311270125225,0.0038014311270125225,0.0026833631484794273,0.002012522361359571,0.0004472271914132379,0.011627906976744186,0.00648479427549195,0.0006708407871198568,0.0033542039355992843,0.03488372093023256,0.01744186046511628,0.004025044722719142,0.006261180679785331,0.007602862254025045,0.01050983899821109,0.0,0.0026833631484794273,0.0006708407871198568,0.0176654740608229,0.005813953488372093,0.004919499105545617,0.0035778175313059034,0.0015652951699463328,0.0024597495527728087,0.0004472271914132379
Galatians,1,2225,149,14.93288590604027,6.036672196655012,0.011235955056179775,0.011685393258426966,0.4885393258426966,0.23325842696629215,2.902097902097902,1.4453163078663096,0.06711409395973154,0.8651685393258427,0.0651685393258427,0.04134831460674157,0.028314606741573035,0.8134831460674158,0.09303370786516854,0.06247191011235955,0.008988764044943821,0.012584269662921348,0.00943820224719101,0.0,0.8134831460674158,0.13258426966292136,0.03146067415730337,0.02247191011235955,0.8134831460674158,0.10966292134831461,0.037303370786516854,0.014382022471910113,0.014382022471910113,0.00943820224719101,0.001348314606741573,0.4503370786516854,0.1644943820224719,0.14202247191011236,0.15101123595505617,0.08584269662921348,0.006292134831460674,0.48269662921348316,0.3155056179775281,0.20179775280898876,0.501123595505618,0.25258426966292136,0.1352808988764045,0.11101123595505619,0.9995505617977528,0.00044943820224719103,0.18651685393258427,1.2626506024096384,0.07685393258426966,0.2,0.13348314606741574,3,0.01303370786516854,0.005393258426966292,0.0,0.0035955056179775282,0.006292134831460674,0.02651685393258427,0.008089887640449439,0.0035955056179775282,0.001348314606741573,0.002696629213483146,0.001348314606741573,0.006741573033707865,0.003146067415730337,0.001348314606741573,0.004943820224719101,0.023370786516853932,0.01348314606741573,0.0071910112359550565,0.002696629213483146,0.0017977528089887641,0.01707865168539326,0.014382022471910113,0.004943820224719101,0.0035955056179775282,0.01348314606741573,0.007640449438202248,0.0022471910112359553,0.001348314606741573,0.009887640449438202,0.008089887640449439,0.0
Ephesians,0,2415,155,15.580645161290322,5.318274019087684,0.010351966873706004,0.006625258799171843,0.4434782608695652,0.2186335403726708,2.23972602739726,1.1465377839123276,0.23225806451612904,0.9213250517598344,0.04265010351966874,0.011594202898550725,0.02443064182194617,0.8645962732919255,0.07246376811594203,0.05010351966873706,0.0033126293995859213,0.007867494824016562,0.0016563146997929607,0.0,0.8645962732919255,0.08985507246376812,0.02401656314699793,0.021532091097308487,0.8645962732919255,0.05010351966873706,0.0443064182194617,0.012422360248447204,0.011594202898550725,0.016977225672877846,0.0,0.34492753623188405,0.14865424430641822,0.20331262939958591,0.1639751552795031,0.1391304347826087,0.0,0.5146997929606625,0.2662525879917184,0.21904761904761905,0.38343685300207037,0.2819875776397516,0.19958592132505176,0.1349896480331263,0.9987577639751553,0.0012422360248447205,0.13540372670807455,1.8990825688073394,0.07784679089026915,0.327217125382263,0.1300207039337474,0,0.004968944099378882,0.007453416149068323,0.00041407867494824016,0.002898550724637681,0.0037267080745341614,0.018219461697722567,0.005797101449275362,0.0016563146997929607,0.004140786749482402,0.004140786749482402,0.0,0.021532091097308487,0.006211180124223602,0.00041407867494824016,0.002898550724637681,0.01987577639751553,0.015320910973084885,0.008281573498964804,0.010766045548654244,0.004140786749482402,0.01904761904761905,0.00041407867494824016,0.0008281573498964803,0.0016563146997929607,0.012836438923395446,0.009937888198757764,0.0033126293995859213,0.002070393374741201,0.0033126293995859213,0.0037267080745341614,0.0
Phillipians,1,1625,104,15.625,5.7203223142267765,0.008,0.008615384615384615,0.4966153846153846,0.2713846153846154,2.6122448979591835,1.4404513400729755,0.17307692307692307,0.9009230769230769,0.027692307692307693,0.043076923076923075,0.028307692307692308,0.8424615384615385,0.08984615384615384,0.04246153846153846,0.009846153846153846,0.012307692307692308,0.003076923076923077,0.0,0.8424615384615385,0.11569230769230769,0.015384615384615385,0.02646153846153846,0.8424615384615385,0.072,0.03446153846153846,0.024,0.011692307692307693,0.015384615384615385,0.0,0.424,0.1316923076923077,0.14523076923076922,0.1723076923076923,0.11753846153846154,0.009230769230769232,0.48123076923076924,0.3249230769230769,0.19384615384615383,0.4929230769230769,0.2449230769230769,0.13415384615384615,0.128,0.9969230769230769,0.003076923076923077,0.15753846153846154,1.41796875,0.09538461538461539,0.21875,0.16676923076923078,0,0.012923076923076923,0.009230769230769232,0.0006153846153846154,0.0006153846153846154,0.0018461538461538461,0.03569230769230769,0.003076923076923077,0.0024615384615384616,0.0018461538461538461,0.0018461538461538461,0.0,0.020307692307692308,0.0043076923076923075,0.0,0.0024615384615384616,0.032,0.014153846153846154,0.012923076923076923,0.009230769230769232,0.0043076923076923075,0.02276923076923077,0.0018461538461538461,0.005538461538461538,0.0018461538461538461,0.014153846153846154,0.00676923076923077,0.006153846153846154,0.0036923076923076922,0.003076923076923077,0.003076923076923077,0.0
Colossians,0,1579,95,16.621052631578948,6.1127333917386775,0.017099430018999367,0.006966434452184927,0.49778340721975933,0.2723242558581381,2.5376344086021505,1.2028872854145038,0.09473684210526316,0.9062697910069665,0.04243191893603546,0.01266624445851805,0.038632045598480054,0.850538315389487,0.08106396453451552,0.0506649778340722,0.0037998733375554147,0.012032932235592146,0.0018999366687777073,0.0,0.850538315389487,0.09373020899303357,0.028499050031665613,0.027232425585813805,0.850538315389487,0.06016466117796074,0.04876504116529449,0.006966434452184927,0.014566181127295756,0.018999366687777075,0.0,0.3597213426219126,0.15832805573147563,0.1785940468651045,0.15896136795440152,0.14439518682710575,0.0,0.493350221659278,0.26599113362887905,0.24065864471184295,0.41101963267891073,0.2799240025332489,0.19062697910069665,0.11842938568714376,1.0,0.0,0.14946168461051298,1.6398305084745763,0.08739708676377454,0.326271186440678,0.16909436352121596,0,0.0037998733375554147,0.00506649778340722,0.0,0.0031665611146295125,0.004433185560481318,0.015832805573147563,0.001266624445851805,0.005699810006333122,0.0031665611146295125,0.0018999366687777073,0.0,0.024699176694110196,0.001266624445851805,0.0006333122229259025,0.0018999366687777073,0.03546548448385054,0.012032932235592146,0.0037998733375554147,0.01013299556681444,0.004433185560481318,0.015832805573147563,0.0,0.0031665611146295125,0.0018999366687777073,0.013299556681443952,0.008866371120962635,0.004433185560481318,0.00253324889170361,0.0031665611146295125,0.005699810006333122,0.0
First Thessalonians,1,1472,89,16.53932584269663,7.492505618912688,0.018342391304347828,0.010190217391304348,0.4544836956521739,0.2452445652173913,2.8588235294117648,1.5747482125003707,0.15730337078651685,0.904891304347826,0.026494565217391304,0.03328804347826087,0.035326086956521736,0.8349184782608695,0.09307065217391304,0.05366847826086957,0.004076086956521739,0.012228260869565218,0.0020380434782608695,0.0,0.8349184782608695,0.11820652173913043,0.01970108695652174,0.02717391304347826,0.8349184782608695,0.06521739130434782,0.03940217391304348,0.030570652173913044,0.012907608695652174,0.01358695652173913,0.0033967391304347825,0.43546195652173914,0.12160326086956522,0.16915760869565216,0.15964673913043478,0.10394021739130435,0.010190217391304348,0.35733695652173914,0.34035326086956524,0.3023097826086957,0.5271739130434783,0.2710597826086957,0.12771739130434784,0.07404891304347826,1.0,0.0,0.16508152173913043,1.300411522633745,0.12024456521739131,0.23868312757201646,0.1358695652173913,0,0.008831521739130434,0.006793478260869565,0.0,0.0020380434782608695,0.0033967391304347825,0.033967391304347824,0.0033967391304347825,0.006114130434782609,0.008831521739130434,0.002717391304347826,0.0006793478260869565,0.012228260869565218,0.004076086956521739,0.0006793478260869565,0.001358695652173913,0.057065217391304345,0.017663043478260868,0.010869565217391304,0.016304347826086956,0.0006793478260869565,0.006793478260869565,0.0,0.012907608695652174,0.001358695652173913,0.024456521739130436,0.0,0.005434782608695652,0.008831521739130434,0.005434782608695652,0.0,0.0
Second Thessalonians,0,819,47,17.425531914893618,5.678887983809414,0.015873015873015872,0.003663003663003663,0.5335775335775336,0.304029304029304,2.75,1.278170931539502,0.14893617021276595,0.9072039072039072,0.05128205128205128,0.0231990231990232,0.018315018315018316,0.8522588522588522,0.07936507936507936,0.04884004884004884,0.008547008547008548,0.007326007326007326,0.003663003663003663,0.0,0.8522588522588522,0.09768009768009768,0.0231990231990232,0.026862026862026864,0.8522588522588522,0.05982905982905983,0.031746031746031744,0.0231990231990232,0.019536019536019536,0.008547008547008548,0.004884004884004884,0.40415140415140416,0.11233211233211234,0.21611721611721613,0.1343101343101343,0.12332112332112333,0.009768009768009768,0.4725274725274725,0.31135531135531136,0.21611721611721613,0.4835164835164835,0.29426129426129427,0.15506715506715507,0.06715506715506715,1.0,0.0,0.14774114774114774,1.6528925619834711,0.11355311355311355,0.21487603305785125,0.18315018315018314,0,0.013431013431013432,0.004884004884004884,0.0,0.001221001221001221,0.002442002442002442,0.030525030525030524,0.003663003663003663,0.009768009768009768,0.002442002442002442,0.002442002442002442,0.0,0.019536019536019536,0.004884004884004884,0.0,0.002442002442002442,0.04884004884004884,0.017094017094017096,0.015873015873015872,0.026862026862026864,0.003663003663003663,0.01221001221001221,0.0,0.01098901098901099,0.002442002442002442,0.02197802197802198,0.004884004884004884,0.001221001221001221,0.003663003663003663,0.006105006105006105,0.0,0.0
First Timothy,0,1590,113,14.070796460176991,5.224798038064131,0.008176100628930818,0.01509433962264151,0.5955974842767295,0.33773584905660375,2.8653846153846154,1.4418010063448214,0.168141592920354,0.8886792452830189,0.06729559748427673,0.018238993710691823,0.02578616352201258,0.8125786163522013,0.12767295597484277,0.042767295597484274,0.005031446540880503,0.011949685534591196,0.0,0.0,0.8125786163522013,0.12955974842767295,0.027044025157232705,0.030817610062893082,0.8125786163522013,0.07169811320754717,0.0509433962264151,0.025157232704402517,0.012578616352201259,0.027044025157232705,0.0,0.39308176100628933,0.15157232704402515,0.1610062893081761,0.17484276729559747,0.1169811320754717,0.0025157232704402514,0.48867924528301887,0.28176100628930817,0.22955974842767296,0.4119496855345912,0.2861635220125786,0.22327044025157233,0.07861635220125786,0.9937106918238994,0.006289308176100629,0.18742138364779873,1.3590604026845639,0.04025157232704402,0.27181208053691275,0.21572327044025158,0,0.007547169811320755,0.011320754716981131,0.0018867924528301887,0.0031446540880503146,0.006289308176100629,0.009433962264150943,0.0018867924528301887,0.0018867924528301887,0.0006289308176100629,0.0025157232704402514,0.010062893081761006,0.014465408805031447,0.0031446540880503146,0.0012578616352201257,0.0025157232704402514,0.009433962264150943,0.011949685534591196,0.00880503144654088,0.0037735849056603774,0.0018867924528301887,0.009433962264150943,0.0012578616352201257,0.0018867924528301887,0.0037735849056603774,0.013836477987421384,0.0037735849056603774,0.00880503144654088,0.0018867924528301887,0.011949685534591196,0.0006289308176100629,0.0
